"geo","gdp_pps_pct","unemp_rate","educ_tertiary","rnd_gdp_pct","hitech_emp_pct","broadband_pct","country","region","dev_class"
"HU21",66,2.08333333333333,23.2333333333333,1.26,5.1,96.05,"HU","K""oz'ep-Dun'ant'ul","meno_sviluppata"
"HU22",68,2.94285714285714,25.3333333333333,1.13,4,95.945,"HU","Nyugat-Dun'ant'ul","meno_sviluppata"
"HU23",51,7.18888888888889,20.4,0.86,3,94.515,"HU","D'el-Dun'ant'ul","meno_sviluppata"
"HU31",51,7.41,18.8333333333333,0.65,4.8,93.13,"HU","'Eszak-Magyarorsz'ag","meno_sviluppata"
"HU32",49,9.14,20.1333333333333,0.96,4.2,94.02,"HU","'Eszak-Alf""old","meno_sviluppata"
"HU33",54,6.82222222222222,22.1333333333333,1.37,2.5,93.36,"HU","D'el-Alf""old","meno_sviluppata"
"IE04",102,4.92,48.6666666666667,1.73,5.8,93.535,"IE","Northern and Western","piu_sviluppata"
"IE05",250,6.86363636363636,49.3666666666667,0.8,9.9,92.015,"IE","Southern","piu_sviluppata"
"IE06",251,7.46363636363636,56.4333333333333,1.3,11.9,96.605,"IE","Eastern and Midland","piu_sviluppata"
"ITC1",99,7.31666666666667,19.9666666666667,2.08,3.9,92.415,"IT","Piemonte","transizione"
"ITC2",119,7.76,18.8666666666667,0.58,NA,93.435,"IT","Valle d'Aosta","piu_sviluppata"
"ITC3",100,8.58333333333333,21.8666666666667,1.62,3.1,92.61,"IT","Liguria","transizione"
"ITC4",130,5.86666666666667,21.2333333333333,1.29,5.5,94.2,"IT","Lombardia","piu_sviluppata"
"ITF1",81,9.49166666666667,21.2,1.14,3,92.47,"IT","Abruzzo","transizione"
"ITF2",72,12.23,19.5,0.95,2,90.735,"IT","Molise","meno_sviluppata"
"ITF3",61,18.9583333333333,16.5,1.33,2.8,92.62,"IT","Campania","meno_sviluppata"
"ITF4",62,14.25,15.7666666666667,0.86,2.1,90.645,"IT","Puglia","meno_sviluppata"
"ITF5",73,8.49090909090909,17.6,0.54,2.1,91.375,"IT","Basilicata","meno_sviluppata"
"ITF6",56,17.625,16.1666666666667,0.59,1.6,91.11,"IT","Calabria","meno_sviluppata"
"ITG1",59,18.2916666666667,14.8,0.92,2.2,90.915,"IT","Sicilia","meno_sviluppata"
"ITG2",69,12.8083333333333,17.4333333333333,0.83,2,92.6,"IT","Sardegna","meno_sviluppata"
"ITH1",153,4.3,17.6333333333333,0.83,1.7,93.54,"IT","Provincia Autonoma di Bolzano","piu_sviluppata"
"ITH2",121,5.75555555555556,21.7666666666667,1.48,3.7,95.055,"IT","Provincia Autonoma di Trento","piu_sviluppata"
