"geo","country","region","dev_class","unemp_rate","educ_tertiary","rnd_gdp_pct","hitech_emp_pct","broadband_pct"
"ES63","ES","Ciudad de Ceuta","meno_sviluppata",30.9545454545455,24.7333333333333,0.21,88.94,96.255
"IE05","IE","Southern","piu_sviluppata",6.86363636363636,49.3666666666667,0.8,125.85,92.015
"HU21","HU","K""oz'ep-Dun'ant'ul","meno_sviluppata",2.08333333333333,23.2333333333333,1.26,328.74,96.05
"BG42","BG","Yuzhen tsentralen","meno_sviluppata",5.23,22.6,0.46,385.73,92.765
"SE31","SE","Norra Mellansverige","transizione",12.7545454545455,35.6333333333333,1.05,97.33,93.365
"SE22","SE","Sydsverige","piu_sviluppata",14.4916666666667,47.5,3.25,90.48,94.98
"CZ03","CZ","Jihoz'apad","transizione",4.06666666666667,21.6,1.57,191.48,96.11
"FRH0","FR","Bretagne","transizione",6.95,40.3666666666667,1.75,46.44,90.17
"BE34","BE","Prov. Luxembourg (BE)","meno_sviluppata",6.3,44.6333333333333,1.25,59.14,93.35
"ITH2","IT","Provincia Autonoma di Trento","piu_sviluppata",5.75555555555556,21.7666666666667,1.48,71.36,95.055
"CZ06","CZ","Jihov'ychod","transizione",3.86666666666667,27.7666666666667,2.52,257.32,94.055
"SK01","SK","Bratislavsk'y kraj","piu_sviluppata",2.6,46.5666666666667,1.52,320.53,98.07
"SK03","SK","Stredn'e Slovensko","meno_sviluppata",10.825,24.5333333333333,0.72,421.43,95.255
"LT02","LT","Vidurio ir vakaru Lietuvos regionas","meno_sviluppata",9.95833333333333,38.5,0.7,512.03,92.31
"NL13","NL","Drenthe","transizione",4.0125,35.8,1.25,55.61,98.755
"BE33","BE","Prov. Li`ege","transizione",11.4333333333333,42.3666666666667,1.25,61.31,95.6
"ITC4","IT","Lombardia","piu_sviluppata",5.86666666666667,21.2333333333333,1.29,71.86,94.2
"FRI2","FR","Limousin","transizione",6.2,36.9666666666667,1.33,41.59,80.71
"NL42","NL","Limburg (NL)","piu_sviluppata",4.06666666666667,38.4,1.25,52.76,99.06
"CZ01","CZ","Praha","piu_sviluppata",3.77272727272727,49.8,2.83,240.95,97.08
"SE21","SE","Smaland med ""oarna","piu_sviluppata",10.5636363636364,37.9666666666667,1.64,106.7,94.415
"RO22","RO","Sud-Est","meno_sviluppata",7.2375,12.9333333333333,0.1,259.75,91.675
"HU12","HU","Pest","meno_sviluppata",3.2,32.9666666666667,0.62,365.73,96.81
"ES11","ES","Galicia","transizione",12.0083333333333,41.3666666666667,1.1,51.94,96.51
"BE25","BE","Prov. West-Vlaanderen","piu_sviluppata",4.58333333333333,39.5,1.25,46.68,96.42
"ES70","ES","Canarias","meno_sviluppata",23.8166666666667,35.6333333333333,0.56,76.44,98.35
"FRJ1","FR","Languedoc-Roussillon","transizione",12.8833333333333,38.2666666666667,2.59,43.06,89.205
"NL34","NL","Zeeland","piu_sviluppata",4.5,29.8333333333333,1.25,46.84,100
"BG34","BG","Yugoiztochen","meno_sviluppata",8.4,22.7333333333333,0.28,247.64,90.865
"SI04","SI","Zahodna Slovenija","piu_sviluppata",5.14545454545455,46.0666666666667,2.59,75.46,97.64
"BE23","BE","Prov. Oost-Vlaanderen","piu_sviluppata",3.84166666666667,50,1.25,49.13,96.27
"HU32","HU","'Eszak-Alf""old","meno_sviluppata",9.14,20.1333333333333,0.96,395.55,94.02
