"geo","country","region","dev_class","unemp_rate","educ_tertiary","rnd_gdp_pct","hitech_emp_pct","broadband_pct"
"FI1D","FI","Pohjois- ja It""a-Suomi","transizione",9.24166666666667,37.8,2.78,169.87,96.14
"FR10","FR","Ile de France","piu_sviluppata",9.25833333333333,54.3333333333333,2.83,34.25,96.1
"FRB0","FR","Centre - Val de Loire","transizione",8.01666666666667,32.6666666666667,1.5,45.21,90.13
"FRC1","FR","Bourgogne","transizione",7.68181818181818,35.8666666666667,0.93,45.08,85.52
"FRC2","FR","Franche-Comt'e","transizione",9.27272727272727,32.7,2.93,42.47,90.05
"FRD1","FR","Basse-Normandie","transizione",6.91,34.5,1.25,47.36,88.095
"FRD2","FR","Haute-Normandie","transizione",8.49166666666667,33.7333333333333,1.53,47.49,88.845
"FRE1","FR","Nord-Pas de Calais","transizione",10.1166666666667,35.7666666666667,0.91,46.91,92.58
"FRE2","FR","Picardie","meno_sviluppata",10.75,31.6,1.49,46.07,89.38
"FRF1","FR","Alsace","transizione",8.05,37.6666666666667,1.86,47.04,92.775
"FRF2","FR","Champagne-Ardenne","transizione",9.48181818181818,31.3,0.85,43.04,89.045
"FRF3","FR","Lorraine","meno_sviluppata",9.43333333333333,31.0666666666667,1.29,43.03,90.815
"FRG0","FR","Pays de la Loire","transizione",6.625,38.6,1.33,39.76,90.32
"FRH0","FR","Bretagne","transizione",6.95,40.3666666666667,1.75,46.44,90.17
"FRI1","FR","Aquitaine","transizione",8.83333333333333,39.8,1.79,38.1,91.875
"FRI2","FR","Limousin","transizione",6.2,36.9666666666667,1.33,41.59,80.71
"FRI3","FR","Poitou-Charentes","transizione",9.28333333333333,33.3,0.9,41.08,90.26
"FRJ1","FR","Languedoc-Roussillon","transizione",12.8833333333333,38.2666666666667,2.59,43.06,89.205
"FRJ2","FR","Midi-Pyr'en'ees","transizione",7.31666666666667,44.2,4.44,39.5,88.295
"FRK1","FR","Auvergne","transizione",8.01,30.1333333333333,2.15,44.44,88.67
"FRK2","FR","Rh^one-Alpes","piu_sviluppata",8.34166666666667,44.5666666666667,3,35.55,91.58
"FRL0","FR","Provence-Alpes-C^ote d'Azur","piu_sviluppata",8.96666666666667,40.7333333333333,2.16,36.64,91.425
"FRM0","FR","Corse","transizione",10.1333333333333,27.7333333333333,0.37,45.99,80.97
"HR03","HR","Jadranska Hrvatska","meno_sviluppata",9.08333333333333,24.9333333333333,0.65,199.81,93.69
"HU11","HU","Budapest","piu_sviluppata",3.56,55.5333333333333,2.76,315.32,97.81
"HU12","HU","Pest","meno_sviluppata",3.2,32.9666666666667,0.62,365.73,96.81
"HU21","HU","K""oz'ep-Dun'ant'ul","meno_sviluppata",2.08333333333333,23.2333333333333,1.26,328.74,96.05
"HU22","HU","Nyugat-Dun'ant'ul","meno_sviluppata",2.94285714285714,25.3333333333333,1.13,313.6,95.945
"HU23","HU","D'el-Dun'ant'ul","meno_sviluppata",7.18888888888889,20.4,0.86,326.27,94.515
"HU31","HU","'Eszak-Magyarorsz'ag","meno_sviluppata",7.41,18.8333333333333,0.65,415.63,93.13
"HU32","HU","'Eszak-Alf""old","meno_sviluppata",9.14,20.1333333333333,0.96,395.55,94.02
"HU33","HU","D'el-Alf""old","meno_sviluppata",6.82222222222222,22.1333333333333,1.37,374.19,93.36
"IE04","IE","Northern and Western","piu_sviluppata",4.92,48.6666666666667,1.73,126.06,93.535
"IE05","IE","Southern","piu_sviluppata",6.86363636363636,49.3666666666667,0.8,125.85,92.015
"IE06","IE","Eastern and Midland","piu_sviluppata",7.46363636363636,56.4333333333333,1.3,101.98,96.605
"ITC1","IT","Piemonte","transizione",7.31666666666667,19.9666666666667,2.08,69.55,92.415
"ITC2","IT","Valle d'Aosta","piu_sviluppata",7.76,18.8666666666667,0.58,70.85,93.435
"ITC3","IT","Liguria","transizione",8.58333333333333,21.8666666666667,1.62,71.95,92.61
"ITC4","IT","Lombardia","piu_sviluppata",5.86666666666667,21.2333333333333,1.29,71.86,94.2
"ITF1","IT","Abruzzo","transizione",9.49166666666667,21.2,1.14,94.41,92.47
"ITF2","IT","Molise","meno_sviluppata",12.23,19.5,0.95,97.4,90.735
"ITF3","IT","Campania","meno_sviluppata",18.9583333333333,16.5,1.33,116.35,92.62
"ITF4","IT","Puglia","meno_sviluppata",14.25,15.7666666666667,0.86,81.89,90.645
"ITF5","IT","Basilicata","meno_sviluppata",8.49090909090909,17.6,0.54,82.48,91.375
"ITF6","IT","Calabria","meno_sviluppata",17.625,16.1666666666667,0.59,86.89,91.11
"ITG1","IT","Sicilia","meno_sviluppata",18.2916666666667,14.8,0.92,81.71,90.915
"ITG2","IT","Sardegna","meno_sviluppata",12.8083333333333,17.4333333333333,0.83,58.75,92.6
"ITH1","IT","Provincia Autonoma di Bolzano","piu_sviluppata",4.3,17.6333333333333,0.83,64.82,93.54
"ITH2","IT","Provincia Autonoma di Trento","piu_sviluppata",5.75555555555556,21.7666666666667,1.48,71.36,95.055
"ITH3","IT","Veneto","piu_sviluppata",5.34166666666667,19.7333333333333,1.27,70.45,93.92
"ITH4","IT","Friuli-Venezia Giulia","piu_sviluppata",5.80833333333333,21.1666666666667,1.66,79.57,94.195
"ITH5","IT","Emilia-Romagna","piu_sviluppata",5.675,23.2666666666667,2.16,66.05,95.435
"ITI1","IT","Toscana","transizione",7.48333333333333,20.7333333333333,1.58,59.27,93.425
"ITI2","IT","Umbria","transizione",6.63333333333333,22.4333333333333,0.98,77.51,91.455
"ITI3","IT","Marche","transizione",7.05833333333333,21.5333333333333,1,82.42,91.96
"ITI4","IT","Lazio","piu_sviluppata",10.2166666666667,26.1,2,87.57,94.56
"LT01","LT","Sostines regionas","piu_sviluppata",6.22,60.5333333333333,1.66,393.41,93.38
"LT02","LT","Vidurio ir vakaru Lietuvos regionas","meno_sviluppata",9.95833333333333,38.5,0.7,512.03,92.31
"LU00","LU","Luxembourg","piu_sviluppata",6.02307692307692,50.5333333333333,1.04,56.45,97.755
"LV00","LV","Latvija","meno_sviluppata",9.075,38.8,0.74,342.38,93.825
"MT00","MT","Malta","piu_sviluppata",3.78333333333333,32.2333333333333,0.67,152.62,95.27
"NL11","NL","Groningen","piu_sviluppata",5.98333333333333,41.8666666666667,1.25,58.72,99.29
"NL12","NL","Friesland (NL)","transizione",4.65833333333333,33.6,1.25,51.71,98.455
"NL13","NL","Drenthe","transizione",4.0125,35.8,1.25,55.61,98.755
"NL21","NL","Overijssel","piu_sviluppata",4.03333333333333,39.9333333333333,1.25,50.25,99.695
"NL22","NL","Gelderland","piu_sviluppata",4.3,42.6666666666667,1.25,49.67,99.365
"NL23","NL","Flevoland","transizione",5.42,35,1.25,54.71,99.115
"NL32","NL","Noord-Holland","piu_sviluppata",5.93076923076923,49.1333333333333,1.25,46.87,99.25
"NL34","NL","Zeeland","piu_sviluppata",4.5,29.8333333333333,1.25,46.84,100
"NL41","NL","Noord-Brabant","piu_sviluppata",3.58333333333333,39.9666666666667,1.25,47.47,99.25
"NL42","NL","Limburg (NL)","piu_sviluppata",4.06666666666667,38.4,1.25,52.76,99.06
"PT11","PT","Norte","meno_sviluppata",6.775,24.7666666666667,1.97,45.26,88.605
"PT15","PT","Algarve","meno_sviluppata",8.85,24.6666666666667,0.48,76.75,89.635
